feature,importance
Area Locality_Secunderabad,3.0792632366169185e-08
"Area Locality_Kukatpally, NH 9",3.007192469099403e-08
"Area Locality_Sakher Bazar, Purba Barisha",2.736557616992032e-08
Area Locality_C V Raman Nagar,2.683202701265529e-08
Area Locality_Ponniammanmedu,2.1984093571814142e-08
Area Locality_Thiruverkkadu,1.9365311653184274e-08
Area Locality_Jadavpur,1.7250433441518595e-08
Area Locality_T Dasarahalli,1.3558095699462098e-08
"Area Locality_Baishnabghata Patuli Township, Patuli",1.3357571975283787e-08
Area Locality_Bisharpara,7.160082929397153e-09
Area Locality_Tiruvottiyur,2.689427222275223e-09
Area Locality_Kadugodi,2.3936554738384345e-09
"Area Locality_Benzer Tower, Thakur Complex",0.0
Area Locality_Benson Town,0.0
"Area Locality_Benchmark Solus, Waterfield Road",0.0
Area Locality_Beliaghata,0.0
Area Locality_Belghoria,0.0
Area Locality_Belgharia,0.0
Area Locality_Behala Chowrasta,0.0
Area Locality_Begur Road,0.0
Area Locality_Begur,0.0
Area Locality_Beverly Park,0.0
"Area Locality_Arjun Garh, Aya Nagar",0.0
"Area Locality_Aristo Pearl Residency, Prabhadevi",0.0
Area Locality_Arcot Road Virugambakkam,0.0
Area Locality_Arasankalani,0.0
"Area Locality_Arakere Mico Layout, Arakere",0.0
"Area Locality_Aradhana Layout, Arakere",0.0
Area Locality_Anushakti Nagar,0.0
Area Locality_Anupuram Colony,0.0
"Area Locality_Antop Hill, Wadala",0.0
Area Locality_Annapurneshwari Nagar,0.0
"Area Locality_Annapurna Apartment, Rajarhat Chowmatha",0.0
Area Locality_Annanagar west,0.0
Area Locality_Annanagar East,0.0
Area Locality_Bhatti Pada,0.0
Area Locality_Bhattarahalli,0.0
"Area Locality_Bharthal, Dwarka",0.0
"Area Locality_Bharathidasan Colony, KK Nagar",0.0
"Area Locality_Bharath Nagar, Porur",0.0
Area Locality_Bhandup Village,0.0
Area Locality_Bhandup East,0.0
Area Locality_Bhandup,0.0
Area Locality_Bhalswa,0.0
"Area Locality_Bhakti Park, Bhakti Park",0.0
Area Locality_Bhakti Park,0.0
Area Locality_Bhajanpura,0.0
"Area Locality_Bhairav Residency, Mira Road",0.0
"Area Locality_Bhagya Nagar Colony, Secunderabad",0.0
Area Locality_Bhagwati Garden,0.0
Area Locality_Bhadrakali,0.0
"Area Locality_Bindra Complex , Andheri East",0.0
Area Locality_Bindapur,0.0
Area Locality_Bilekahalli,0.0
Area Locality_Bilal Nagar-Sagayapura,0.0
"Area Locality_Bikasipura, kanakapura Road",0.0
Area Locality_Bijoygarh,0.0
"Area Locality_Bidhan Pally, Bansdroni",0.0
Area Locality_Bhuvaneswari Nagar,0.0
"Area Locality_Bhoomi Elegant, Thakur Complex",0.0
Area Locality_Bhoiwada,0.0
"Area Locality_Bhogal, Jangpura",0.0
"Area Locality_Bhel Township- Malleshwaram, Malleshwaram",0.0
"Area Locality_Bhel Layout, Rajarajeshwari Nagar",0.0
Area Locality_Bheeram guda,0.0
Area Locality_Bhayandar East,0.0
Area Locality_Brahmapur,0.0
Area Locality_Bowenpally,0.0
Area Locality_Bow Bazar,0.0
Area Locality_Botanical Garden Area,0.0
Area Locality_Bonhooghly,0.0
"Area Locality_Bongloor, Outer Ring Road",0.0
Area Locality_Bommasandra,0.0
"Area Locality_Bollaram, Outer Ring Road",0.0
"Area Locality_Bohra Layout, Gottigere, bannerghatta main Road",0.0
Area Locality_Camelot Layout,0.0
Area Locality_CV Raman Nagar,0.0
Area Locality_CIT Nagar,0.0
Area Locality_CBI Colony,0.0
Area Locality_CA 150 sector 1 saltlake,0.0
Area Locality_Byrathi,0.0
"Area Locality_Bydara Halli, Benson Town",0.0
Area Locality_Byculla West,0.0
Area Locality_Burari,0.0
"Area Locality_Bunder Garden, Perambur",0.0
"Area Locality_Buddha Nagar Colony, Boduppal",0.0
Area Locality_Btm Layout Stage 4,0.0
"Area Locality_Btm Layout Stage 2, BTM Layout",0.0
"Area Locality_Chamundi Nagar, Rajajinagar",0.0
"Area Locality_Chamundeshwari Layout, Arakere",0.0
Area Locality_Chamrajpet,0.0
"Area Locality_Champapet, Koti",0.0
"Area Locality_Challenger Tower, Thakur Village, Kandivali East",0.0
Area Locality_Chakala Cigarette Factory,0.0
Area Locality_Chakala,0.0
"Area Locality_Chak Thakurani, Thakurpukur",0.0
Area Locality_Cghs apts.,0.0
Area Locality_Century Bazaar,0.0
"Area Locality_Central Bank Colony, Chromepet",0.0
Area Locality_Central Avenue Road,0.0
Area Locality_Central Area,0.0
"Area Locality_Celestia Spaces, Balkrishna Dadu Karade Chowk",0.0
Area Locality_Carter Road,0.0
Area Locality_Camp Road,0.0
Area Locality_Chembur East,0.0
Area Locality_Chembarambakkam,0.0
"Area Locality_Chelekare, Kalyan Nagar, Outer Ring Road",0.0
Area Locality_Chattarpur Extension,0.0
Area Locality_Charkop Sector 6,0.0
Area Locality_Charkop,0.0
"Area Locality_Chandulal bela colony, shahalibanda",0.0
Area Locality_Chandrayanguttabalguda,0.0
Area Locality_Chandapura,0.0
"Area Locality_Chandannagar, Hooghly-Chinsurah",0.0
"Area Locality_Chandanagar, NH 9",0.0
"Area Locality_Chanda Naik Nagar, Madhapur",0.0
Area Locality_Chanda Nagar,0.0
Area Locality_Chanchalguda,0.0
"Area Locality_Chanakya Place, Sitapuri",0.0
Area Locality_Chinmay Gaurang Infrastructure Old Panvel,0.0
"Area Locality_Chinar Park, Rajarhat",0.0
Area Locality_Chilakalguda,0.0
"Area Locality_Chikkasandra-Jalahalli West, Jalahalli West",0.0
"Area Locality_Chikkana Layout, Kammanahalli",0.0
"Area Locality_Chikkalasandra, Bangalore",0.0
Area Locality_Chikkalasandra,0.0
Area Locality_Chikkabanavara,0.0
"Area Locality_Chikbasavnapura, Krishnarajapura",0.0
"Area Locality_Chhattarpur Enclave Phase1, Chhattarpur",0.0
"Area Locality_Chetpet, PH Road",0.0
Area Locality_Cherlopalli TIRUPATI,0.0
Area Locality_Chennai,0.0
"Area Locality_Chembur Heights, Sindhi Society Chembur",0.0
"Area Locality_Conwood Astoria, Goregaon East",0.0
Area Locality_Collector Colony,0.0
"Area Locality_Coffee Board Layout, Nagavara",0.0
Area Locality_Cmbt,0.0
"Area Locality_Chuchangatta Colony, J P Nagar",0.0
"Area Locality_Chowdeshwari Layout, Yelahanka",0.0
Area Locality_Choodasandra,0.0
Area Locality_Chittaranjan Park Block K,0.0
Area Locality_Chittaranjan Park Block B,0.0
Area Locality_Chintalakunta,0.0
"Area Locality_Chintal, NH 7",0.0
Area Locality_Chintadripet,0.0
Area Locality_Chinna Porur,0.0
"Area Locality_DNM Colony, Sanath Nagar",0.0
"Area Locality_DJA Apartments, Dwarka Sector 13",0.0
"Area Locality_DDA Flats Sector E Pocket 1, Vasant Kunj",0.0
"Area Locality_DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",0.0
"Area Locality_DDA Flats Block B3, Keshav Puram, Tri Nagar",0.0
"Area Locality_DDA Flat AD Block, Shalimar Bagh AD Block",0.0
"Area Locality_DDA Devdoot Apartment, Vikaspuri",0.0
"Area Locality_DB Ozone, Mira Road",0.0
Area Locality_D.N. Nagar,0.0
Area Locality_Cunningham Road,0.0
Area Locality_Cuffe Parade,0.0
"Area Locality_Crescent Solitaire, Sakinaka Junction",0.0
"Area Locality_Crescent Bay Callisto, Parel",0.0
