feature,importance
Area Locality_Bagalakunte,2.789281515272767e-08
Area Locality_Kaikhali,2.7363628963067054e-08
Area Locality_Dr A.S. Rao Nagar,2.6839915461448637e-08
Area Locality_Btm Layout Stage 4,2.6360861859932878e-08
Area Locality_Amberpet,2.4873377262443092e-08
Area Locality_Btm Layout,2.3467331400937693e-08
Area Locality_Tollygunge,2.2826259019548245e-08
Area Locality_T Dasarahalli,2.1362303645164207e-08
Area Locality_Vidyaranyapura,2.132398358335402e-08
"Area Locality_Gandhamguda, Bairagiguda",2.0158425642315203e-08
Area Locality_Barrackpore,2.0030356329756543e-08
"Area Locality_Kumarpara, Narendrapur",1.7347782472251832e-08
Area Locality_Dum Dum Metro,1.668524854771847e-08
Area Locality_Howrah,1.562531755208822e-08
"Area Locality_Banashankari Stage 2, Banashankari",1.5386640424775388e-08
Area Locality_Chanda Nagar,1.3075621406894586e-08
Area Locality_Kovur,1.1257358999521201e-08
"Area Locality_Srinagar, Banashankari",1.1063897773431527e-08
Area Locality_Arakere,7.933197742001309e-09
Area Locality_Bhandup East,7.886807358140583e-09
Area Locality_Mangadu,6.619712801773828e-09
Area Locality_Kolathur,5.670213819115954e-09
Area Locality_Kengeri,4.597904696282438e-09
"Area Locality_Ashok Nagar, Himayath Nagar",4.4982728150247904e-09
Area Locality_Nandini Layout,4.4391592380457425e-09
"Area Locality_Valasaravakkam, Arcot Road",4.163046581522544e-09
Area Locality_Old Washermanpet,3.4326162716907297e-09
Area Locality_New Town,2.825272943032326e-09
Area Locality_Birati,2.27079248522269e-09
"Area Locality_Sakher Bazar, Purba Barisha",2.2082970132545355e-09
Area Locality_Jalladian Pet,1.193584487405789e-09
"Area Locality_Baishnabghata Patuli Township, Patuli",8.293981610835742e-10
Area Locality_Pallikaranai,5.693187657399892e-10
Area Locality_Balanagar,0.0
Area Locality_Balapur,0.0
"Area Locality_Balapur X road,Triveni nagar",0.0
"Area Locality_Baljit Nagar, Patel Nagar",0.0
"Area Locality_Balkrishna, Goregaon East",0.0
"Area Locality_Ballerina Apartment, Lokhandwala Complex",0.0
Area Locality_Banashankari,0.0
"Area Locality_Banashankari Stage 3, Banashankari",0.0
"Area Locality_Band Stand, Bandra Band Stand",0.0
Area Locality_Bandam Kommu,0.0
Area Locality_Bandari Layout,0.0
Area Locality_Bandel,0.0
"Area Locality_Bandlaguda Jagir,, Hyderabad",0.0
Area Locality_Bandra East,0.0
Area Locality_Bangalore,0.0
"Area Locality_Bangur Avenue, Lake Town",0.0
Area Locality_Banjara Layout,0.0
"Area Locality_Bansdroni Mauza, Krishnanagar",0.0
Area Locality_Bapu Nagar-Langar Houz,0.0
Area Locality_Barasat,0.0
Area Locality_Barasat-Barrackpore Road,0.0
Area Locality_Basava Nagar,0.0
Area Locality_Basavanapura,0.0
Area Locality_Basaveshvara Nagar,0.0
Area Locality_Basaveshwar Nagar,0.0
Area Locality_Basaveshwara Layout,0.0
"Area Locality_Basheer Bagh, Hyderabad,",0.0
"Area Locality_Basheer Bagh, NH 7",0.0
Area Locality_Battarahalli,0.0
Area Locality_Bda Layout -Lingarajapuram,0.0
"Area Locality_Beach Towers, Prabhadevi",0.0
"Area Locality_Bedarahalli, Magadi Road",0.0
Area Locality_Begur,0.0
Area Locality_Begur Koppa Rd,0.0
Area Locality_Begur Road,0.0
